日期,收盘,开盘,,,,
2025/11/7,100.2,100.13,,,,
2025/11/6,100.24,100.18,,,,
2025/11/5,99.87,100.1,,,,
2025/11/4,100.14,100.15,,,,
2025/11/3,100.09,100.07,,,,
2025/10/31,100.54,100.66,,,,
2025/10/30,100.6,100.48,,,,
2025/10/29,100.79,101.25,,,,
2025/10/28,101.27,101.19,,,,
2025/10/27,101.21,101.08,,,,
2025/10/24,101.14,101.17,,,,
2025/10/23,101.04,101.11,,,,
2025/10/22,101.22,101.16,,,,
2025/10/21,101.23,101.27,,,,
2025/10/20,101.13,101.07,,,,
2025/10/17,100.96,101.01,,,,
2025/10/16,101.1,100.69,,,,
2025/10/15,100.74,100.82,,,,
2025/10/14,100.78,100.57,,,,
2025/10/13,100.62,100.46,,,,
2025/10/10,100.43,100.36,,,,
2025/10/9,100.02,100.08,,,,
2025/10/8,100.14,100.31,,,,
2025/10/7,100.13,100.08,,,,
2025/10/6,99.96,100,,,,
2025/10/3,100.18,100.32,,,,
2025/10/2,100.29,100.14,,,,
2025/10/1,100.18,100.18,,,,
2025/9/30,100.25,100.33,,,,
2025/9/29,100.26,100.18,,,,
2025/9/26,100.07,100.09,,,,
2025/9/25,100,100,,,,
2025/9/24,100.14,100.25,,,,
2025/9/23,100.33,100.24,,,,
2025/9/22,100.17,100.26,,,,
2025/9/19,100.29,100.3,,,,
2025/9/18,100.29,100.26,,,,
2025/9/17,100.57,100.87,,,,
2025/9/16,100.75,100.75,,,,
2025/9/15,100.71,100.67,,,,
2025/9/12,100.54,100.48,,,,
2025/9/11,100.63,100.55,,,,
2025/9/10,100.44,100.41,,,,
2025/9/9,100.24,100.38,,,,
2025/9/8,100.44,100.33,,,,
2025/9/5,100.1,100.14,,,,
2025/9/4,99.63,99.44,,,,
2025/9/3,99.23,98.95,,,,
2025/9/2,98.87,98.82,,,,
2025/8/29,99.46,99.47,,,,
2025/8/28,99.59,99.43,,,,
2025/8/27,99.47,99.22,,,,
2025/8/26,99.37,99.24,,,,
2025/8/25,99.25,99.21,,,,
2025/8/22,99.4,99.03,,,,
2025/8/21,98.85,98.96,,,,
2025/8/20,99.08,98.99,,,,
2025/8/19,99.02,98.94,,,,
2025/8/18,98.83,98.99,,,,
2025/8/15,98.94,99.07,,,,
2025/8/14,99.09,99.18,,,,
2025/8/13,99.37,99.28,,,,
2025/8/12,99.01,98.91,,,,
2025/8/11,99.01,99.01,,,,
2025/8/8,98.94,99,,,,
2025/8/7,99.13,99.23,,,,
2025/8/6,99.21,99.14,,,,
2025/8/5,99.25,99.13,,,,
2025/8/4,99.22,99.16,,,,
2025/8/1,99.14,98.87,,,,
2025/7/31,98.62,98.72,,,,
2025/7/30,98.57,98.67,,,,
2025/7/29,98.85,98.42,,,,
2025/7/28,98.32,98.36,,,,
2025/7/25,98.45,98.3,,,,
2025/7/24,98.29,98.11,,,,
