Data,EPS,Dividend,,,,,,,,,
30-Jun-25,? 224.07,? 78.48,,,,,,,,,
31-May-25,? 222.87,? 78.30,,,,,,,,,
30-Apr-25,? 221.37,? 78.15,,,,,,,,,
31-Mar-25,? 220.08,? 77.89,,,,,,,,,
28-Feb-25,? 218.36,? 77.75,,,,,,,,,
31-Jan-25,? 217.11,? 77.50,,,,,,,,,
31-Dec-24,? 216.29,? 77.34,,,,,,,,,
30-Nov-24,? 212.97,? 77.06,,,,,,,,,
31-Oct-24,? 209.46,? 76.96,,,,,,,,,
30-Sep-24,? 206.30,? 77.01,,,,,,,,,
31-Aug-24,? 205.14,? 76.55,,,,,,,,,
31-Jul-24,? 203.81,? 76.02,,,,,,,,,
30-Jun-24,? 202.56,? 75.61,,,,,,,,,
31-May-24,? 201.06,? 75.24,,,,,,,,,
30-Apr-24,? 199.83,? 74.81,,,,,,,,,
31-Mar-24,? 199.03,? 74.41,,,,,,,,,
29-Feb-24,? 200.68,? 74.04,,,,,,,,,
31-Jan-24,? 202.29,? 73.76,,,,,,,,,
31-Dec-23,? 203.76,? 73.65,,,,,,,,,
30-Nov-23,? 200.67,? 73.95,,,,,,,,,
31-Oct-23,? 197.39,? 74.22,,,,,,,,,
30-Sep-23,? 194.43,? 74.44,,,,,,,,,
31-Aug-23,? 193.77,? 74.02,,,,,,,,,
31-Jul-23,? 193.47,? 73.52,,,,,,,,,
30-Jun-23,? 192.69,? 73.14,,,,,,,,,
31-May-23,? 191.24,? 73.11,,,,,,,,,
30-Apr-23,? 189.63,? 73.22,,,,,,,,,
31-Mar-23,? 188.50,? 73.15,,,,,,,,,
28-Feb-23,? 188.25,? 73.21,,,,,,,,,
31-Jan-23,? 188.43,? 73.21,,,,,,,,,
31-Dec-22,? 189.05,? 73.40,,,,,,,,,
30-Nov-22,? 193.68,? 73.18,,,,,,,,,
31-Oct-22,? 198.69,? 73.12,,,,,,,,,
30-Sep-22,? 204.72,? 73.24,,,,,,,,,
31-Aug-22,? 207.06,? 72.43,,,,,,,,,
31-Jul-22,? 208.88,? 71.77,,,,,,,,,
30-Jun-22,? 210.74,? 71.48,,,,,,,,,
31-May-22,? 215.73,? 71.16,,,,,,,,,
30-Apr-22,? 220.23,? 70.66,,,,,,,,,
31-Mar-22,? 223.58,? 70.17,,,,,,,,,
28-Feb-22,? 226.55,? 70.38,,,,,,,,,
31-Jan-22,? 228.61,? 70.39,,,,,,,,,
31-Dec-21,? 230.52,? 70.01,,,,,,,,,
30-Nov-21,? 222.46,? 70.34,,,,,,,,,
31-Oct-21,? 214.75,? 70.38,,,,,,,,,
30-Sep-21,? 207.65,? 70.36,,,,,,,,,
31-Aug-21,? 201.64,? 70.13,,,,,,,,,
31-Jul-21,? 195.47,? 70.03,,,,,,,,,
30-Jun-21,? 189.79,? 70.16,,,,,,,,,
31-May-21,? 179.26,? 69.80,,,,,,,,,
30-Apr-21,? 168.31,? 69.39,,,,,,,,,
31-Mar-21,? 157.20,? 69.17,,,,,,,,,
28-Feb-21,? 144.29,? 69.72,,,,,,,,,
31-Jan-21,? 130.98,? 70.19,,,,,,,,,
31-Dec-20,? 117.38,? 70.67,,,,,,,,,
30-Nov-20,? 119.19,? 71.44,,,,,,,,,
31-Oct-20,? 120.82,? 72.10,,,,,,,,,
30-Sep-20,? 122.57,? 72.67,,,,,,,,,
31-Aug-20,? 123.16,? 72.98,,,,,,,,,
31-Jul-20,? 123.97,? 73.17,,,,,,,,,
30-Jun-20,? 125.02,? 73.44,,,,,,,,,
31-May-20,? 132.93,? 73.89,,,,,,,,,
30-Apr-20,? 140.15,? 74.47,,,,,,,,,
31-Mar-20,? 146.38,? 75.20,,,,,,,,,
29-Feb-20,? 155.75,? 75.56,,,,,,,,,
31-Jan-20,? 165.89,? 75.52,,,,,,,,,
31-Dec-19,? 176.28,? 74.97,,,,,,,,,
30-Nov-19,? 173.36,? 74.25,,,,,,,,,
31-Oct-19,? 170.50,? 73.89,,,,,,,,,
30-Sep-19,? 168.12,? 73.61,,,,,,,,,
31-Aug-19,? 169.25,? 73.12,,,,,,,,,
31-Jul-19,? 170.24,? 72.65,,,,,,,,,
30-Jun-19,? 171.53,? 72.38,,,,,,,,,
31-May-19,? 171.19,? 71.96,,,,,,,,,
30-Apr-19,? 171.18,? 71.47,,,,,,,,,
31-Mar-19,? 171.71,? 71.11,,,,,,,,,
28-Feb-19,? 171.83,? 70.64,,,,,,,,,
31-Jan-19,? 171.69,? 70.31,,,,,,,,,
31-Dec-18,? 171.16,? 70.19,,,,,,,,,
30-Nov-18,? 169.75,? 70.08,,,,,,,,,
31-Oct-18,? 168.33,? 69.87,,,,,,,,,
30-Sep-18,? 167.77,? 69.49,,,,,,,,,
31-Aug-18,? 164.56,? 68.66,,,,,,,,,
31-Jul-18,? 161.26,? 67.83,,,,,,,,,
30-Jun-18,? 157.87,? 67.34,,,,,,,,,
31-May-18,? 155.09,? 66.84,,,,,,,,,
30-Apr-18,? 152.69,? 66.30,,,,,,,,,
31-Mar-18,? 150.25,? 65.72,,,,,,,,,
28-Feb-18,? 148.17,? 65.40,,,,,,,,,
31-Jan-18,? 146.41,? 65.25,,,,,,,,,
31-Dec-17,? 144.77,? 65.08,,,,,,,,,
30-Nov-17,? 143.45,? 64.76,,,,,,,,,
31-Oct-17,? 142.23,? 64.59,,,,,,,,,
30-Sep-17,? 140.91,? 64.47,,,,,,,,,
31-Aug-17,? 140.31,? 64.10,,,,,,,,,
31-Jul-17,? 139.37,? 63.77,,,,,,,,,
30-Jun-17,? 137.93,? 63.39,,,,,,,,,
31-May-17,? 136.40,? 63.31,,,,,,,,,
30-Apr-17,? 134.87,? 63.08,,,,,,,,,
31-Mar-17,? 133.61,? 62.61,,,,,,,,,
28-Feb-17,? 131.17,? 62.30,,,,,,,,,
31-Jan-17,? 129.02,? 61.98,,,,,,,,,
31-Dec-16,? 127.20,? 61.79,,,,,,,,,
30-Nov-16,? 124.79,? 61.54,,,,,,,,,
31-Oct-16,? 122.15,? 61.43,,,,,,,,,
30-Sep-16,? 119.86,? 61.48,,,,,,,,,
31-Aug-16,? 119.17,? 61.20,,,,,,,,,
31-Jul-16,? 118.30,? 60.80,,,,,,,,,
30-Jun-16,? 117.13,? 60.57,,,,,,,,,
31-May-16,? 117.30,? 60.47,,,,,,,,,
30-Apr-16,? 117.56,? 60.27,,,,,,,,,
31-Mar-16,? 117.90,? 59.91,,,,,,,,,
29-Feb-16,? 118.45,? 59.85,,,,,,,,,
31-Jan-16,? 118.59,? 59.83,,,,,,,,,
31-Dec-15,? 118.82,? 59.84,,,,,,,,,
30-Nov-15,? 120.30,? 59.88,,,,,,,,,
31-Oct-15,? 121.93,? 59.71,,,,,,,,,
30-Sep-15,? 123.75,? 59.58,,,,,,,,,
31-Aug-15,? 125.49,? 58.98,,,,,,,,,
31-Jul-15,? 127.24,? 58.45,,,,,,,,,
30-Jun-15,? 129.18,? 58.03,,,,,,,,,
31-May-15,? 131.61,? 57.59,,,,,,,,,
