日期,收盘,开盘,,,,
2025/11/7,670.97,667.91,,,,
2025/11/6,670.31,676.47,,,,
2025/11/5,677.58,674.98,,,,
2025/11/4,675.24,676.11,,,,
2025/11/3,683.34,685.67,,,,
2025/10/31,682.06,685.04,,,,
2025/10/30,679.83,683.9,,,,
2025/10/29,687.39,688.72,,,,
2025/10/28,687.06,687.05,,,,
2025/10/27,685.24,682.73,,,,
2025/10/24,677.25,676.46,,,,
2025/10/23,671.76,668.12,,,,
2025/10/22,667.8,672,,,,
2025/10/21,671.29,671.44,,,,
2025/10/20,671.3,667.32,,,,
2025/10/17,664.39,659.5,,,,
2025/10/16,660.64,666.82,,,,
2025/10/15,665.17,666.82,,,,
2025/10/14,662.23,657.17,,,,
2025/10/13,663.04,660.65,,,,
2025/10/10,653.02,672.13,,,,
2025/10/9,671.16,673.53,,,,
2025/10/8,673.11,670.25,,,,
2025/10/7,669.12,672.54,,,,
2025/10/6,671.61,671.62,,,,
2025/10/3,669.21,669.99,,,,
2025/10/2,669.22,670.45,,,,
2025/10/1,668.45,663.17,,,,
2025/9/30,666.18,662.93,,,,
2025/9/29,663.68,664.36,,,,
2025/9/26,661.82,659.51,,,,
2025/9/25,658.05,657.94,,,,
2025/9/24,661.1,664.51,,,,
2025/9/23,663.21,666.72,,,,
2025/9/22,666.84,662.2,,,,
2025/9/19,663.7,662.33,,,,
2025/9/18,662.26,661.89,,,,
2025/9/17,659.18,660.01,,,,
2025/9/16,660,661.47,,,,
2025/9/15,660.91,659.64,,,,
2025/9/12,657.41,657.6,,,,
2025/9/11,657.63,654.18,,,,
2025/9/10,652.21,653.62,,,,
2025/9/9,650.33,648.97,,,,
2025/9/8,648.83,648.62,,,,
2025/9/5,647.24,651.48,,,,
2025/9/4,649.12,644.42,,,,
2025/9/3,643.74,642.67,,,,
2025/9/2,640.27,637.5,,,,
2025/8/29,645.05,647.47,,,,
2025/8/28,648.92,647.24,,,,
2025/8/27,646.63,644.57,,,,
2025/8/26,645.16,642.2,,,,
2025/8/25,642.47,644.04,,,,
2025/8/22,645.31,637.76,,,,
2025/8/21,635.55,636.28,,,,
2025/8/20,638.11,639.4,,,,
2025/8/19,639.81,643.12,,,,
2025/8/18,643.3,642.86,,,,
2025/8/15,643.44,645.99,,,,
2025/8/14,644.95,642.79,,,,
2025/8/13,644.89,644.91,,,,
2025/8/12,642.69,638.29,,,,
2025/8/11,635.92,637.46,,,,
2025/8/8,637.18,634.06,,,,
2025/8/7,632.25,636.24,,,,
2025/8/6,632.78,629.05,,,,
2025/8/5,627.97,631.79,,,,
2025/8/4,631.17,625.67,,,,
2025/8/1,621.72,626.3,,,,
2025/7/31,632.08,639.46,,,,
2025/7/30,634.46,635.92,,,,
2025/7/29,635.26,638.35,,,,
2025/7/28,636.94,637.48,,,,
2025/7/25,637.1,635.09,,,,
2025/7/24,634.42,634.6,,,,
2025/7/23,634.21,631.55,,,,
2025/7/22,628.86,629.1,,,,
2025/7/21,628.77,628.77,,,,
2025/7/18,627.58,629.3,,,,
2025/7/17,628.04,624.4,,,,
2025/7/16,624.22,623.74,,,,
2025/7/15,622.14,627.52,,,,
2025/7/14,624.81,623.16,,,,
2025/7/11,623.62,622.74,,,,
2025/7/10,625.82,624.2,,,,
2025/7/9,624.06,622.77,,,,
2025/7/8,620.34,621.35,,,,
2025/7/7,620.68,623.36,,,,
2025/7/3,625.34,622.45,,,,
2025/7/2,620.45,617.24,,,,
2025/7/1,617.65,616.36,,,,
2025/6/30,617.85,617.38,,,,
2025/6/27,614.91,612.88,,,,
2025/6/26,611.87,608.99,,,,
2025/6/25,607.12,607.91,,,,
2025/6/24,606.78,604.33,,,,
2025/6/23,600.15,595.04,,,,
2025/6/20,594.28,598.38,,,,
2025/6/18,597.44,598.44,,,,
2025/6/17,597.53,600.21,,,,
2025/6/16,602.68,600.4,,,,
2025/6/13,597,598.5,,,,
2025/6/12,603.75,600.01,,,,
2025/6/11,601.36,604.19,,,,
2025/6/10,603.08,600.22,,,,
2025/6/9,599.68,599.72,,,,
2025/6/6,599.14,598.66,,,,
2025/6/5,593.05,597.63,,,,
2025/6/4,595.93,596.96,,,,
2025/6/3,596.09,592.34,,,,
2025/6/2,592.71,587.76,,,,
2025/5/30,589.39,588.93,,,,
2025/5/29,590.05,593.06,,,,
2025/5/28,587.73,591.56,,,,
2025/5/27,591.15,586.07,,,,
2025/5/23,579.11,575.98,,,,
2025/5/22,583.09,582.66,,,,
2025/5/21,582.86,588.44,,,,
2025/5/20,592.85,593.09,,,,
2025/5/19,594.85,588.1,,,,
2025/5/16,594.2,591.25,,,,
2025/5/15,590.46,585.56,,,,
2025/5/14,587.59,587.81,,,,
2025/5/13,586.84,583.41,,,,
2025/5/12,582.99,581.47,,,,
2025/5/9,564.34,566.48,,,,
2025/5/8,565.06,565.24,,,,
2025/5/7,561.15,560.15,,,,
2025/5/6,558.8,557.93,,,,
2025/5/5,563.51,562.57,,,,
2025/5/2,566.76,564.73,,,,
2025/5/1,558.47,560.37,,,,
2025/4/30,554.54,547.57,,,,
2025/4/29,554.32,548.91,,,,
2025/4/28,550.85,551.39,,,,
2025/4/25,550.64,546.65,,,,
2025/4/24,546.69,536.72,,,,
2025/4/23,535.42,540.43,,,,
2025/4/22,527.25,520.14,,,,
2025/4/21,513.88,521.16,,,,
2025/4/17,526.41,527.64,,,,
2025/4/16,525.66,531.68,,,,
2025/4/15,537.61,539.67,,,,
2025/4/14,539.12,544.05,,,,
2025/4/11,533.94,523.01,,,,
2025/4/10,524.58,532.17,,,,
2025/4/9,548.62,493.44,,,,
2025/4/8,496.48,521.86,,,,
2025/4/7,504.38,489.19,,,,
2025/4/4,505.28,523.67,,,,
2025/4/3,536.7,545.11,,,,
2025/4/2,564.52,555.05,,,,
2025/4/1,560.97,557.45,,,,
2025/3/31,559.39,549.83,,,,
2025/3/28,555.66,565.53,,,,
2025/3/27,567.08,567.18,,,,
2025/3/26,568.59,575.19,,,,
2025/3/25,575.46,575.3,,,,
2025/3/24,574.08,570.8,,,,
2025/3/21,563.98,559.28,,,,
2025/3/20,565.49,563.33,,,,
2025/3/19,567.13,562.83,,,,
2025/3/18,561.02,564.8,,,,
2025/3/17,567.15,562.79,,,,
2025/3/14,562.81,556.11,,,,
2025/3/13,551.42,558.49,,,,
2025/3/12,558.87,562.17,,,,
2025/3/11,555.92,559.4,,,,
2025/3/10,560.58,567.59,,,,
2025/3/7,575.92,570.9,,,,
