"日期","收盘","开盘","高","低","涨跌幅"
"2025-11-1","3.858","3.826","4.089","3.826","0.04%"
"2025-10-1","3.856","3.934","3.957","3.808","-2.31%"
"2025-9-1","3.947","4.128","4.128","3.940","-4.87%"
"2025-8-1","4.149","4.279","4.279","4.144","-4.51%"
"2025-7-1","4.345","4.336","4.356","4.327","1.02%"
"2025-6-1","4.301","4.340","4.373","4.268","-1.15%"
"2025-5-1","4.351","4.293","4.395","4.293","1.21%"
"2025-4-1","4.299","4.305","4.334","4.253","0.00%"
"2025-3-1","4.299","4.299","4.316","4.283","0.00%"
"2025-2-1","4.299","4.296","4.336","4.291","0.24%"
"2025-1-1","4.289","4.313","4.325","4.289","-0.77%"
"2024-12-1","4.322","4.504","4.529","4.283","-3.70%"
"2024-11-1","4.488","4.604","4.618","4.488","-1.29%"
"2024-10-1","4.547","4.634","4.727","4.550","-1.65%"
"2024-9-1","4.623","5.169","5.169","4.615","-9.40%"
"2024-8-1","5.103","5.310","5.341","5.103","-3.35%"
"2024-7-1","5.280","5.384","5.430","5.287","-1.55%"
"2024-6-1","5.363","5.424","5.473","5.354","-0.52%"
"2024-5-1","5.391","5.433","5.516","5.396","-0.11%"
"2024-4-1","5.397","5.375","5.533","5.357","0.69%"
"2024-3-1","5.360","5.419","5.549","5.371","-0.24%"
"2024-2-1","5.373","5.396","5.500","5.364","0.15%"
"2024-1-1","5.365","5.395","5.500","5.352","0.26%"
"2023-12-1","5.351","5.416","5.503","5.345","-0.96%"
"2023-11-1","5.403","5.495","5.518","5.398","-1.55%"
"2023-10-1","5.488","5.469","5.570","5.456","0.20%"
"2023-9-1","5.477","5.477","5.558","5.430","-0.04%"
"2023-8-1","5.479","5.430","5.537","5.405","1.01%"
"2023-7-1","5.424","5.349","5.517","5.311","1.90%"
"2023-6-1","5.323","5.472","5.586","5.218","-1.74%"
"2023-5-1","5.417","5.095","5.550","5.019","6.13%"
"2023-4-1","5.104","4.810","5.318","4.723","6.29%"
"2023-3-1","4.802","4.865","5.061","4.418","-1.13%"
"2023-2-1","4.857","4.717","4.897","4.620","3.49%"
"2023-1-1","4.693","4.404","4.926","4.363","6.54%"
"2022-12-1","4.405","4.405","4.498","4.258","0.94%"
"2022-11-1","4.364","4.219","4.429","4.079","6.70%"
"2022-10-1","4.090","3.303","4.152","3.241","24.58%"
"2022-9-1","3.283","2.967","3.395","2.904","12.01%"
